x,y,z,yaw,velocity,change_flag
1.6578,11.3976,0.6627,2.2029,2.4830,0
1.5849,11.4868,0.6371,2.2002,2.4756,0
1.5463,11.5276,0.6227,2.1963,1.1285,0
1.5063,11.5658,0.6364,2.1983,1.7009,0
1.4437,11.6217,0.6399,2.2025,1.9626,0
1.4321,11.6825,0.6399,2.2020,1.3347,0
1.3763,11.7315,0.6395,2.2005,1.2948,0
1.3387,11.8025,0.6321,2.1969,1.5035,0
1.2830,11.8562,0.6352,2.1991,1.7074,0
1.2462,11.8938,0.6397,2.1997,1.2195,0
1.2009,11.9526,0.6275,2.2046,1.9859,0
1.1610,11.9984,0.6482,2.2019,2.2058,0
1.1413,12.0449,0.6331,2.2067,inf,0
1.0615,12.1031,0.6385,2.2002,1.9399,0
1.0047,12.1695,0.6435,2.1960,1.9409,0
0.9796,12.2150,0.6297,2.1918,1.1312,0
0.9315,12.2699,0.6643,2.1920,2.5693,0
0.8933,12.3358,0.6145,2.1935,1.7827,0
0.8501,12.3856,0.6480,2.1959,1.2255,0
0.8156,12.4239,0.6221,2.1910,0.8892,0
0.7624,12.4368,0.6128,2.1905,inf,0
0.7384,12.4955,0.6241,2.1927,1.3635,0
0.6967,12.5396,0.6297,2.1956,2.0866,0
0.6870,12.6018,0.6373,2.1966,1.0993,0
0.6438,12.6488,0.6235,2.1985,0.8005,0
0.5693,12.6730,0.6035,2.1866,2.1295,0
0.5453,12.7204,0.6441,2.1870,2.2926,0
0.4898,12.7946,0.6186,2.1885,1.5220,0
0.4592,12.8614,0.6314,2.1891,1.5068,0
0.4148,12.8887,0.6380,2.1880,1.1242,0
0.3578,12.9582,0.6177,2.1886,1.9809,0
0.3335,13.0064,0.6234,2.1906,0.8536,0
0.2711,13.0597,0.6216,2.1982,1.3593,0
0.2022,13.0943,0.6255,2.2175,1.7507,0
0.1424,13.1658,0.6250,2.2462,1.8081,0
0.1055,13.2241,0.6312,2.2815,1.3598,0
0.0777,13.2700,0.6107,2.3140,0.7556,0
0.0357,13.3040,0.6223,2.3300,0.6111,0
-0.0446,13.3690,0.6348,2.3225,1.9145,0
-0.0832,13.4148,0.5944,2.3146,1.6063,0
-0.1234,13.4636,0.6223,2.3135,1.6432,0
-0.1722,13.5051,0.6033,2.3129,1.4169,0
-0.2370,13.5524,0.6061,2.3114,1.1149,0
-0.3033,13.6049,0.6089,2.3127,1.5069,0
-0.3444,13.6514,0.5806,2.3140,1.3900,0
-0.3892,13.7196,0.6445,2.3132,2.2076,0
